current_apW,current_hpW,intactW,key_resp_9.keys,key_resp_9.corr,nam_unn,participant,rs_rt_n
Nam2/inanimate06d_ap.jpg,inanimate06e_hp.jpg,left,left,1,nam,707,ApRS
Unn2/abstract09e_ap.jpg,abstract09d_hp.jpg,left,right,0,unn,707,ApRS
Unn2/abstract09f_ap.jpg,abstract09f_hp.jpg,right,right,1,unn,707,ApRT
Nam2/inanimate02e_ap.jpg,inanimate02e_hp.jpg,right,right,1,nam,707,ApRS
Unn2/abstract09d_ap.jpg,abstract09e_hp.jpg,left,left,1,unn,707,ApRS
Unn2/abstract09g_ap.jpg,abstract09g_hp.jpg,right,left,0,unn,707,ApRT
Nam2/inanimate02g_ap.jpg,inanimate02g_hp.jpg,right,right,1,nam,707,ApRT
Unn2/abstract08g_ap.jpg,abstract08f_hp.jpg,left,right,0,unn,707,ApRT
Nam2/inanimate02d_ap.jpg,inanimate02d_hp.jpg,right,right,1,nam,707,ApRS
Unn2/abstract08e_ap.jpg,abstract08e_hp.jpg,right,right,1,unn,707,ApRS
Nam2/inanimate06g_ap.jpg,inanimate06f_hp.jpg,left,left,1,nam,707,ApRT
Unn2/abstract08d_ap.jpg,abstract08d_hp.jpg,right,right,1,unn,707,ApRS
Nam2/inanimate02f_ap.jpg,inanimate02f_hp.jpg,right,right,1,nam,707,ApRT
Nam2/inanimate06f_ap.jpg,inanimate06g_hp.jpg,left,left,1,nam,707,ApRT
Unn2/abstract08f_ap.jpg,abstract08g_hp.jpg,left,right,0,unn,707,ApRT
Nam2/inanimate06e_ap.jpg,inanimate06d_hp.jpg,left,left,1,nam,707,ApRS
Nam2/inanimate01d_ap.jpg,inanimate01e_hp.jpg,left,right,0,nam,707,ApRS
Unn2/abstract06e_ap.jpg,abstract06d_hp.jpg,left,right,0,unn,707,ApRS
Unn2/abstract06f_ap.jpg,abstract06f_hp.jpg,right,right,1,unn,707,ApRT
Nam2/inanimate07e_ap.jpg,inanimate07d_hp.jpg,left,left,1,nam,707,ApRS
Unn2/abstract06d_ap.jpg,abstract06e_hp.jpg,left,left,1,unn,707,ApRS
Unn2/abstract06g_ap.jpg,abstract06g_hp.jpg,right,right,1,unn,707,ApRT
Nam2/inanimate07g_ap.jpg,inanimate07g_hp.jpg,right,right,1,nam,707,ApRT
Unn2/abstract07g_ap.jpg,abstract07f_hp.jpg,left,left,1,unn,707,ApRT
Nam2/inanimate07d_ap.jpg,inanimate07e_hp.jpg,left,right,0,nam,707,ApRS
Unn2/abstract07e_ap.jpg,abstract07e_hp.jpg,right,right,1,unn,707,ApRS
Nam2/inanimate01g_ap.jpg,inanimate01f_hp.jpg,left,right,0,nam,707,ApRT
Unn2/abstract07d_ap.jpg,abstract07d_hp.jpg,right,right,1,unn,707,ApRS
Nam2/inanimate07f_ap.jpg,inanimate07f_hp.jpg,right,right,1,nam,707,ApRT
Nam2/inanimate01f_ap.jpg,inanimate01g_hp.jpg,left,left,1,nam,707,ApRT
Unn2/abstract07f_ap.jpg,abstract07g_hp.jpg,left,left,1,unn,707,ApRT
Nam2/inanimate01e_ap.jpg,inanimate01d_hp.jpg,left,left,1,nam,707,ApRS
Nam2/inanimate08d_ap.jpg,inanimate08d_hp.jpg,right,right,1,nam,707,ApRS
Unn2/abstract02e_ap.jpg,abstract02e_hp.jpg,right,right,1,unn,707,ApRS
Unn2/abstract02f_ap.jpg,abstract02g_hp.jpg,left,left,1,unn,707,ApRT
Nam2/inanimate04e_ap.jpg,inanimate04d_hp.jpg,left,None,0,nam,707,ApRS
Unn2/abstract02d_ap.jpg,abstract02d_hp.jpg,right,None,0,unn,707,ApRS
Unn2/abstract02g_ap.jpg,abstract02f_hp.jpg,left,right,0,unn,707,ApRT
Nam2/inanimate04g_ap.jpg,inanimate04f_hp.jpg,left,left,1,nam,707,ApRT
Unn2/abstract05g_ap.jpg,abstract05g_hp.jpg,right,right,1,unn,707,ApRT
Nam2/inanimate04d_ap.jpg,inanimate04e_hp.jpg,left,left,1,nam,707,ApRS
Unn2/abstract05e_ap.jpg,abstract05d_hp.jpg,left,None,0,unn,707,ApRS
Nam2/inanimate08g_ap.jpg,inanimate08g_hp.jpg,right,right,1,nam,707,ApRT
Unn2/abstract05d_ap.jpg,abstract05e_hp.jpg,left,left,1,unn,707,ApRS
Nam2/inanimate04f_ap.jpg,inanimate04g_hp.jpg,left,left,1,nam,707,ApRT
Nam2/inanimate08f_ap.jpg,inanimate08f_hp.jpg,right,right,1,nam,707,ApRT
Unn2/abstract05f_ap.jpg,abstract05f_hp.jpg,right,right,1,unn,707,ApRT
Nam2/inanimate08e_ap.jpg,inanimate08e_hp.jpg,right,right,1,nam,707,ApRS
